[DEBUG] 2026-06-03T07:15:50.285Z - destination=indore, lat=undefined, lon=undefined, apiKey=Missing
[DEBUG] 2026-06-03T07:20:41.653Z - destination=mumbai, lat=undefined, lon=undefined, apiKey=Missing
[DEBUG] 2026-06-03T07:39:08.708Z - destination=mumbai, lat=undefined, lon=undefined, apiKey=Missing
[DEBUG] 2026-06-03T07:49:37.695Z - destination=indore, lat=undefined, lon=undefined, apiKey=Missing
[DEBUG] 2026-06-03T08:07:54.045Z - destination=indore, lat=undefined, lon=undefined, apiKey=Missing
[DEBUG] 2026-06-03T08:10:29.899Z - destination=ahemdabad, lat=undefined, lon=undefined, apiKey=Missing
[DEBUG] 2026-06-03T08:14:07.682Z - destination=jammu, lat=undefined, lon=undefined, apiKey=Missing
[DEBUG] 2026-06-03T08:22:40.130Z - destination=mumbai, lat=19.054999, lon=72.8692035, apiKey=Loaded
[DEBUG] 2026-06-03T08:22:45.444Z - destination=mumbai, lat=19.054999, lon=72.8692035, apiKey=Loaded
[DEBUG] 2026-06-03T08:27:16.872Z - destination=indore, lat=22.7203616, lon=75.8681996, apiKey=Loaded
[DEBUG] 2026-06-03T08:34:35.454Z - destination=indore, lat=22.7203616, lon=75.8681996, apiKey=Loaded
[DEBUG] 2026-06-03T08:49:06.856Z - destination=delhi, lat=28.6138954, lon=77.2090057, apiKey=Loaded
[DEBUG] 2026-06-03T09:13:04.465Z - destination=goa, lat=15.3004543, lon=74.0855134, apiKey=Loaded
[DEBUG] 2026-06-03T09:48:13.522Z - destination=indore, lat=22.7203616, lon=75.8681996, apiKey=Loaded
[DEBUG] 2026-06-03T09:51:23.778Z - destination=goa, lat=15.3004543, lon=74.0855134, apiKey=Loaded
[DEBUG] 2026-06-03T09:55:44.272Z - destination=mohali, lat=23.5315005, lon=79.2315469, apiKey=Loaded
[DEBUG] 2026-06-03T09:56:48.775Z - destination=mumbai, lat=19.054999, lon=72.8692035, apiKey=Loaded
[DEBUG] 2026-06-03T10:13:45.749Z - destination=mumbai, lat=19.054999, lon=72.8692035, apiKey=Loaded
[DEBUG] 2026-06-04T06:29:20.750Z - destination=goa, lat=15.3004543, lon=74.0855134, apiKey=Loaded
[DEBUG] 2026-06-04T06:38:26.454Z - destination=rajsthan, lat=19.8697988, lon=75.3886515, apiKey=Loaded
[DEBUG] 2026-06-04T06:41:18.641Z - destination=mumbai, lat=19.054999, lon=72.8692035, apiKey=Loaded
[DEBUG] 2026-06-04T06:52:38.492Z - destination=goa, lat=15.3004543, lon=74.0855134, apiKey=Loaded
[DEBUG] 2026-06-04T06:57:08.511Z - destination=mumbai, lat=19.054999, lon=72.8692035, apiKey=Loaded
[DEBUG] 2026-06-04T07:03:15.823Z - destination=ambala, lat=30.3843674, lon=76.770421, apiKey=Loaded
[DEBUG] 2026-06-04T07:10:01.369Z - destination=chandigarh, lat=30.7334421, lon=76.7797143, apiKey=Loaded
[DEBUG] 2026-06-04T07:23:07.101Z - destination=chandigarh, lat=30.7334421, lon=76.7797143, apiKey=Loaded
[DEBUG] 2026-06-04T07:28:46.482Z - destination=chandigarh, lat=30.7334421, lon=76.7797143, apiKey=Loaded
[DEBUG] 2026-06-04T07:50:32.567Z - destination=yamuna nagar, lat=19.1481254, lon=72.827599, apiKey=Loaded
[DEBUG] 2026-06-04T08:02:38.049Z - destination=yamunanagar, lat=30.1231349, lon=77.286329, apiKey=Loaded
[DEBUG] 2026-06-04T09:02:34.359Z - destination=indore, lat=22.7203616, lon=75.8681996, apiKey=Loaded
[DEBUG] 2026-06-04T09:15:12.586Z - destination=manali, lat=32.2454608, lon=77.1872926, apiKey=Loaded
[DEBUG] 2026-06-04T09:26:07.353Z - destination=manali, lat=32.2454608, lon=77.1872926, apiKey=Loaded
[DEBUG] 2026-06-04T09:38:30.145Z - destination=goa, lat=44.4264, lon=8.91519, apiKey=Loaded
[DEBUG] 2026-06-04T10:08:06.759Z - destination=chandigarh, lat=30.7334421, lon=76.7797143, apiKey=Loaded
[DEBUG] 2026-06-04T10:43:48.102Z - destination=mumbai, lat=19.054999, lon=72.8692035, apiKey=Loaded
[DEBUG] 2026-06-09T05:09:18.490Z - destination=goa, lat=44.4264, lon=8.91519, apiKey=Loaded
[DEBUG] 2026-06-09T05:25:30.359Z - destination=goa, lat=44.4264, lon=8.91519, apiKey=Loaded
[DEBUG] 2026-06-09T06:12:23.688Z - destination=indore, lat=22.7203616, lon=75.8681996, apiKey=Loaded
[DEBUG] 2026-06-09T06:56:36.411Z - destination=goa, lat=44.4264, lon=8.91519, apiKey=Loaded
[DEBUG] 2026-06-09T07:02:34.066Z - destination=Tokyo, lat=35.6768601, lon=139.7638947, apiKey=Loaded
[DEBUG] 2026-06-09T07:03:46.016Z - destination=paris, lat=48.8534951, lon=2.3483915, apiKey=Loaded
[DEBUG] 2026-06-09T07:23:40.382Z - destination=Tokyo, lat=35.6768601, lon=139.7638947, apiKey=Loaded
[DEBUG] 2026-06-09T09:50:44.573Z - destination=indore, lat=22.7203616, lon=75.8681996, apiKey=Loaded
[DEBUG] 2026-06-10T06:17:34.135Z - destination=australia, lat=-24.7761086, lon=134.755, apiKey=Loaded
[DEBUG] 2026-06-10T07:46:11.885Z - destination=paris, lat=48.8534951, lon=2.3483915, apiKey=Loaded
[DEBUG] 2026-06-10T08:06:23.943Z - destination=indore, lat=22.7203616, lon=75.8681996, apiKey=Loaded
[DEBUG] 2026-06-10T08:18:05.561Z - destination=goa, lat=44.4264, lon=8.91519, apiKey=Loaded
[DEBUG] 2026-06-10T09:38:23.180Z - destination=indore, lat=22.7203616, lon=75.8681996, apiKey=Loaded
[DEBUG] 2026-06-11T07:10:47.257Z - destination=indore, lat=22.7203616, lon=75.8681996, apiKey=Loaded
[DEBUG] 2026-06-11T07:15:53.995Z - destination=indore, lat=22.7203616, lon=75.8681996, apiKey=Loaded
[DEBUG] 2026-06-11T08:48:01.525Z - destination=Tokyo, lat=35.6768601, lon=139.7638947, apiKey=Loaded
[DEBUG] 2026-06-11T09:16:13.828Z - destination=indore, lat=22.7203616, lon=75.8681996, apiKey=Loaded
